Team,Opponent,Result,Game Score,3PTM,3PTA,3Pt%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,PF,A,TO,Blk,Stl,Pts
Laurier,Queen's,Loss,56-75,7,22,31.8,20,65,30.8,9,11,81.8,6,22,28,14,13,13,0,4,56
Laurier,Ontario Tech,Win,87-53,8,25,32,34,68,50,11,13,84.6,13,37,50,12,21,15,2,10,87
Laurier,Windsor,Win,65-62,4,20,20,24,65,36.9,13,16,81.2,11,27,38,18,12,18,2,9,65
Laurier,York,Win,86-56,8,29,27.6,35,76,46.1,8,13,61.5,11,23,34,11,16,15,4,14,86
Laurier,Toronto,Win,87-52,9,24,37.5,31,74,41.9,16,23,69.6,11,35,46,17,16,13,1,15,87
Laurier,Western,Win,79-68,9,17,52.9,26,59,44.1,18,20,90,8,27,35,14,15,22,4,9,79
Laurier,McMaster,Loss,71-72,7,28,25,29,79,36.7,6,8,75,12,34,46,8,9,12,5,6,71
Windsor,Western,Win,64-51,2,18,11.1,22,62,35.5,18,23,78.3,9,30,39,12,13,10,2,5,64
Windsor,Laurier,Win,79-61,12,31,38.7,29,62,46.8,9,13,69.2,9,27,36,14,18,17,3,10,79
Windsor,Ottawa,Loss,58-74,3,15,20,17,58,29.3,21,33,63.6,9,26,35,20,6,17,2,8,58
Windsor,Carleton,Loss,52-57,7,30,23.3,18,71,25.4,9,12,75,13,18,31,21,10,9,1,9,52
Windsor,McMaster,Loss,59-70,1,18,5.6,24,71,33.8,10,13,76.9,11,33,44,11,11,15,0,7,59
Windsor,York,Win,55-44,1,20,5,17,58,29.3,20,31,64.5,13,20,33,23,8,13,0,12,55
Windsor,Lakehead,Win,72-59,7,29,24.1,28,73,38.4,9,14,64.3,10,32,42,13,22,9,1,7,72
Windsor,Western,Win,59-56,3,18,16.7,20,57,35.1,16,28,57.1,12,28,40,17,10,16,2,12,59
Windsor,Waterloo,Loss,41-62,4,19,21.1,15,58,25.9,7,12,58.3,8,18,26,17,9,17,2,11,41
Windsor,Guelph,Loss,61-68,6,16,37.5,21,51,41.2,13,21,61.9,6,25,31,16,12,25,4,9,61
Windsor,Toronto Metropolitan,Loss,41-45,1,22,4.5,14,62,22.6,12,16,75,10,30,40,15,7,16,0,12,41
Windsor,Toronto,Win,73-62,8,21,38.1,25,63,39.7,15,19,78.9,12,23,35,20,13,15,6,12,73
Windsor,Laurentian,Win,69-36,5,16,31.2,24,64,37.5,16,32,50,15,38,53,20,7,14,7,12,69
Windsor,Nipissing,Win,58-52,4,21,19,20,74,27,14,19,73.7,22,22,44,22,10,15,3,18,58
Windsor,Ontario Tech,Win,70-58,4,20,20,27,73,37,12,21,57.1,19,31,50,14,12,14,3,7,70
Windsor,Queen's,Loss,46-54,1,20,5,15,63,23.8,15,27,55.6,15,33,48,24,2,12,3,6,46
Windsor,Brock,Loss,52-67,3,21,14.3,22,66,33.3,5,11,45.5,14,24,38,12,11,13,1,6,52
Windsor,Guelph,Loss,65-72,5,20,25,14,61,23,32,47,68.1,17,32,49,19,6,21,0,11,65
Windsor,Laurier,Loss,62-65,5,21,23.8,24,68,35.3,9,15,60,11,28,39,19,10,21,1,12,62
Windsor,Waterloo,Loss,42-51,6,25,24,17,66,25.8,2,3,66.7,14,15,29,18,7,22,1,8,42
Windsor,Algoma,Win,78-54,5,20,25,28,63,44.4,17,25,68,21,30,51,11,12,18,2,14,78
Windsor,Algoma,Win,72-29,7,22,31.8,27,72,37.5,11,22,50,19,29,48,11,14,6,0,11,72
Windsor,Guelph,Loss,50-74,7,27,25.9,18,64,28.1,7,15,46.7,16,21,37,15,8,21,0,8,50
York,Waterloo,Loss,57-73,5,25,20,20,68,29.4,12,20,60,11,16,27,23,12,13,0,10,57
York,Brock,Loss,51-82,3,26,11.5,17,58,29.3,14,20,70,12,17,29,14,15,25,1,7,51
York,Lakehead,Loss,53-61,3,20,15,19,72,26.4,12,24,50,18,28,46,19,11,13,0,10,53
York,Lakehead,Loss,62-68,6,22,27.3,22,70,31.4,12,20,60,15,28,43,19,18,11,0,7,62
York,Western,Loss,67-80,4,14,28.6,23,68,33.8,17,23,73.9,12,32,44,24,10,23,5,7,67
York,Windsor,Loss,44-55,2,20,10,13,46,28.3,16,30,53.3,5,24,29,24,7,23,0,6,44
